full_name,rating,jersey,team,position,b_day,height (m),weight (lbs),salary,country,draft_year,draft_round,draft_peak,college
LeBron James,97,#23,Los Angeles Lakers,F,12/30/84,2.06,250,37436858.00,USA,2003,1,1,
Kawhi Leonard,97,#2,Los Angeles Clippers,F,6/29/91,2.01,225,32742000.00,USA,2011,1,15,San Diego State
Giannis Antetokounmpo,96,#34,Milwaukee Bucks,F-G,12/6/94,2.11,242,25842697.00,Greece,2013,1,15,
Kevin Durant,96,#7,Brooklyn Nets,F,9/29/88,2.08,230,37199000.00,USA,2007,1,2,Texas
James Harden,96,#13,Houston Rockets,G,8/26/89,1.96,220,38199000.00,USA,2009,1,3,Arizona State
Stephen Curry,95,#30,Golden State Warriors,G,3/14/88,1.91,185,40231758.00,USA,2009,1,7,Davidson
Anthony Davis,94,#3,Los Angeles Lakers,F-C,3/11/93,2.08,222,27093019.00,USA,2012,1,1,Kentucky
Paul George,93,#13,Los Angeles Clippers,F,5/2/90,2.03,210,33005556.00,USA,2010,1,10,Fresno State
Damian Lillard,92,#0,Portland Trail Blazers,G,7/15/90,1.88,195,29802321.00,USA,2012,1,6,Weber State
Joel Embiid,91,#21,Philadelphia 76ers,C,3/16/94,2.13,250,27504630.00,Cameroon,2014,1,3,Kansas
Kyrie Irving,91,#11,Brooklyn Nets,G,3/23/92,1.88,180,31742000.00,Australia,2011,1,1,Duke
Nikola Jokic,90,#15,Denver Nuggets,C,2/19/95,2.13,253,27504630.00,Serbia,2014,2,41,
Russell Westbrook,90,#0,Houston Rockets,G,11/12/88,1.91,190,38506482.00,USA,2008,1,4,UCLA
Klay Thompson,89,#11,Golden State Warriors,G,2/8/90,1.98,205,32742000.00,USA,2011,1,11,Washington State
Karl-Anthony Towns,89,#32,Minnesota Timberwolves,F-C,11/15/95,2.11,248,27285000.00,USA,2015,1,1,Kentucky
Jimmy Butler,88,#22,Miami Heat,G,9/14/89,2.01,220,32742000.00,USA,2011,1,30,Marquette
Rudy Gobert,88,#27,Utah Jazz,C,6/26/92,2.16,238,25258427.00,France,2013,1,27,
Blake Griffin,88,#23,Detroit Pistons,F,3/16/89,2.06,252,34449964.00,USA,2009,1,1,Oklahoma
Donovan Mitchell,88,#45,Utah Jazz,G,9/7/96,1.85,211,3635760.00,USA,2017,1,13,Louisville
Kemba Walker,88,#8,Boston Celtics,G,5/8/90,1.83,172,32742000.00,USA,2011,1,9,UConn
Luka Doncic,87,#77,Dallas Mavericks,G-F,2/28/99,2.01,227,7683360.00,Slovenia,2018,1,3,
